filename,caption,costs,url,copyright
Child_labor_Bangladesh.jpg,Child labour in Bangladesh.,16,http://en.wikipedia.org/wiki/File:Child_labor_Bangladesh.jpg,
CottonNegrosSouth.jpg,"Picking Cotton in the South-eastern United States of America, early 20th century.",61,http://en.wikipedia.org/wiki/File:CottonNegrosSouth.jpg,
Slavezanzibar2.JPG,Photograph of a slave boy in Zanzibar. 'An Arab master's punishment for a slight offence. ' c. 1890.,59,http://en.wikipedia.org/wiki/File:Slavezanzibar2.JPG,
SPLA_Child_Soldier.jpg,A child soldier of the Sudanese People's Liberation Army (2007),14,http://en.wikipedia.org/wiki/File:SPLA_Child_Soldier.jpg,
Capitao-mato.jpg,"The Brazilian slave-hunter, 1823, by Johann Moritz Rugendas.",60,http://en.wikipedia.org/wiki/File:Capitao-mato.jpg,
Pelourinho.jpg,"The public flogging of a slave in Rio de Janeiro, Brazil. From Jean Baptiste Debret, Voyage Pittoresque et Historique au Bresil (1834äóñ1839).",62,http://en.wikipedia.org/wiki/File:Pelourinho.jpg,
The_White_Slave_statue.jpg,The White Slave by Abastenia St. Leger Eberle,20,http://en.wikipedia.org/wiki/File:The_White_Slave_statue.jpg,
CriancaLixao20080220MarcelloCasalJrAgenciaBrasil.jpg,"Child labour in Brazil, leaving after collecting recyclables from a landfill.",55,http://en.wikipedia.org/wiki/File:CriancaLixao20080220MarcelloCasalJrAgenciaBrasil.jpg,
"Child_Labor_in_Morona_Santiago,_Ecuador_1990.jpg","Child Labour in a quarry, Ecuador.",27,http://en.wikipedia.org/wiki/File:Child_Labor_in_Morona_Santiago,
Amsterdam_red_light_district.jpg,De Wallen red-light district in Amsterdam. Most of the trafficked girls and women come from central and eastern Europe.,22,http://en.wikipedia.org/wiki/File:Amsterdam_red_light_district.jpg,
Darfur_report_-_Page_6_Image_1.jpg,"""This mother had just arrived at Abu Shouk with her sick baby. Under the best of circumstances, some predict that as many as 300,000 will die."" Abu Shouk camp is located in North Darfur",,http://en.wikipedia.org/wiki/File:Darfur_report_-_Page_6_Image_1.jpg,
Darfur_report_-_Page_7_Image_1.jpg,"""Children in the refugee camps are being encouraged to confront their psychological scars. Above, clay figures depict an attack by Janjaweed."" In Darfur, Sudan.",56,http://en.wikipedia.org/wiki/File:Darfur_report_-_Page_7_Image_1.jpg,
Arab_volunteers.jpg,Arab volunteers fighting in Palestine in 1947. They should be Jihad al-Muqadas fighters in Jerusalem.,,http://en.wikipedia.org/wiki/File:Arab_volunteers.jpg,
Bloody_child's_shoe_after_rocket_fired_from_Gaza_hit_Israel.jpg,"A child's bloodied shoe inside the shopping mall in the southern Israeli city of Ashkelon after a missile, fired by Palestinian militants inside the Gaza Strip, exploded on a mall on 14 May 2008 severely injuring several Israelis, including one child and a woman, and wounding dozens of other civilians.",5,http://en.wikipedia.org/wiki/File:Bloody_child%27s_shoe_after_rocket_fired_from_Gaza_hit_Israel.jpg,
Gaza.jpg,Sufferings of the Palestinian children during the Israeli attacks on Gaza (27 December 2008 - 19 January 2009).,,http://en.wikipedia.org/wiki/File:Gaza_children_horrified.png,
Abdul.jpg,Protester Abdulredha Buhmaid on floor bleeding from his head after army opened fire,6,http://en.wikipedia.org/wiki/File:Abdulredha_Buhmaid_on_floor.jpeg,
20081123120727-violencia-de-genero.jpg,Domestic violence.,,http://en.wikipedia.org/wiki/File:20081123120727-violencia-de-genero.jpg,
Acid_attack_victim.jpg,"Acid attack victim, Cambodia, 2007",,http://en.wikipedia.org/wiki/File:Acid_attack_victim.jpg,
Girl_sufferedwithburnwounds.jpg,A Christian girl who was bruised and burnt during the Orissa violence in August 2008. This girl was injured with burns bruises during anti Christian violence by Hindu nationalists. It occured when a bomb was thrown into her house by extremists.,,http://en.wikipedia.org/wiki/File:Girl_sufferedwithburnwounds.jpg,
Tropenmuseum_Royal_Tropical_Institute_Objectnumber_3581-33h_Ingekleurde_litho_voorstellende_de_oo.jpg,"A 19th century lithograph by Theodore Bray showing a sugarcane plantation. On right is ""white officer"", the European overseer, watching plantation workers. To the left is a flat-bottomed vessel for cane transportation.",57,http://en.wikipedia.org/wiki/File:Tropenmuseum_Royal_Tropical_Institute_Objectnumber_3581-33h_Ingekleurde_litho_voorstellende_de_oo.jpg,
11114107225_64335528b1_o.jpg,A hostess leads the way upstairs in a short time hotel.,42,http://www.flickr.com/photos/blemishedparadise/11114107225/in/photostream/,
11013004683_984a8fcf13_o.jpg,"Stairway outside bar, Phnom Penh",42,http://www.flickr.com/photos/blemishedparadise/11013004683/in/photostream/,
Cicatrices_de_flagellation_sur_un_esclave.jpg,"""Overseer Artayou Carrier whipped me.  I was two months in bed sore from the whipping.  My master come after I was whipped; he discharged the overseer.""  The very words of poor Peter, taken as he sat for his picture.  Baton Rouge, La., April 2, 1863.",25,http://en.wikipedia.org/wiki/File:Cicatrices_de_flagellation_sur_un_esclave.jpg,
125705890_9435f3a232_o.jpg,Red light district of Amsterdam in May 2000,48,http://en.wikipedia.org/wiki/File:Prostata_Prostitute.jpg,
Diamond_miners-1-.jpg,Children engaged in diamond mining in Sierra Leone.,,http://en.wikipedia.org/wiki/File:Diamond_miners-1-.jpg,
